chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
asos-davos-03,asos,7,ok,2026-05-05 17:31:57,2026-05-05 17:35:07,190,6,39260,121120,8443,168829,0.517633
asos-jon-08,asos,11,ok,2026-05-05 17:32:14,2026-05-05 17:35:31,197,6,40644,123321,7694,171665,0.5086365
asos-jaime-08,asos,9,skip-rate-limit,,,,,,,,,
asos-davos-05,asos,7,skip-rate-limit,,,,,,,,,
asos-davos-01,asos,7,skip-done,,,,,,,,,
asos-davos-02,asos,7,skip-done,,,,,,,,,
asos-davos-03,asos,7,skip-done,,,,,,,,,
asos-davos-04,asos,7,skip-done,,,,,,,,,
asos-samwell-02,asos,13,ok,2026-05-05 22:41:15,2026-05-05 22:46:07,292,6,61700,111699,11788,185193,0.7367874999999999
asos-tyrion-05,asos,16,ok,2026-05-05 22:41:15,2026-05-05 22:46:41,326,5,60728,69438,14983,145154,0.789467
asos-davos-05,asos,7,ok,2026-05-05 22:41:14,2026-05-05 22:48:07,413,5,65125,71232,17657,154019,0.88467525
asos-jaime-04,asos,9,skip-done,,,,,,,,,
asos-jaime-05,asos,9,skip-done,,,,,,,,,
asos-jaime-06,asos,9,skip-done,,,,,,,,,
asos-jaime-07,asos,9,skip-done,,,,,,,,,
asos-samwell-03,asos,13,ok,2026-05-05 22:46:08,2026-05-05 22:49:54,226,6,39806,120067,9194,169073,0.539289
asos-tyrion-06,asos,16,ok,2026-05-05 22:46:42,2026-05-05 22:51:10,268,5,43014,81808,12492,137319,0.6226644999999998
asos-jaime-08,asos,9,ok,2026-05-05 22:48:11,2026-05-05 22:53:59,348,5,48845,84360,15829,149039,0.74381425
asos-tyrion-07,asos,16,ok,2026-05-05 22:51:11,2026-05-05 22:54:38,207,5,37069,78799,9650,125523,0.5129537500000001
asos-samwell-04,asos,13,ok,2026-05-05 22:49:55,2026-05-05 22:54:53,298,5,43153,82067,12433,137658,0.62215775
asos-jon-10,asos,12,ok,2026-05-05 22:54:04,2026-05-05 22:59:18,314,6,42736,123328,9201,175271,0.559385
asos-samwell-05,asos,13,ok,2026-05-05 22:54:54,2026-05-05 22:59:18,264,7,40814,167706,8925,217452,0.5626785
asos-tyrion-08,asos,16,ok,2026-05-05 22:54:39,2026-05-05 23:02:07,448,6,57638,127869,19501,205014,0.912325
asos-jon-11,asos,12,ok,2026-05-05 22:59:18,2026-05-05 23:03:39,261,5,41225,80937,11781,133948,0.5932607499999999
asos-sansa-01,asos,13,ok,2026-05-05 22:59:19,2026-05-05 23:04:59,340,5,49101,85618,14969,149693,0.7245332499999999
asos-tyrion-09,asos,16,ok,2026-05-05 23:02:08,2026-05-05 23:06:04,236,4096,46028,121294,10527,181945,0.63258
asos-jon-12,asos,12,ok,2026-05-05 23:03:40,2026-05-05 23:07:29,229,4096,40513,116558,9775,170942,0.57692125
asos-sansa-02,asos,14,ok,2026-05-05 23:05:04,2026-05-05 23:10:37,333,5,43041,79879,14872,137797,0.68137375
asos-prologue,asos,12,ok,2026-05-05 23:07:30,2026-05-05 23:12:21,291,5,46735,86357,11977,145074,0.6353012499999999
asos-tyrion-10,asos,17,ok,2026-05-05 23:06:09,2026-05-05 23:12:58,409,5,52815,86199,18199,157218,0.8287812499999999
asos-sansa-03,asos,14,ok,2026-05-05 23:10:37,2026-05-05 23:16:17,340,5,47533,83935,15352,146825,0.7234767499999999
asos-samwell-01,asos,12,ok,2026-05-05 23:12:21,2026-05-05 23:17:21,300,5,46542,86674,11547,144768,0.6235175
asos-tyrion-11,asos,17,ok,2026-05-05 23:12:59,2026-05-05 23:17:27,268,5,43467,83271,11846,138589,0.6100772499999999
asos-sansa-04,asos,14,ok,2026-05-05 23:16:18,2026-05-05 23:21:43,325,5,44932,82025,14639,141601,0.6884405
asos-sansa-05,asos,14,ok,2026-05-05 23:21:44,2026-05-05 23:26:34,290,5,43083,82273,12619,137980,0.62648325
asos-sansa-06,asos,14,ok,2026-05-05 23:26:34,2026-05-05 23:31:49,315,5,49767,88167,13387,151326,0.69041025
asos-sansa-07,asos,15,ok,2026-05-05 23:31:53,2026-05-05 23:39:17,444,4096,53366,121985,17766,197213,0.8597629999999999
asos-tyrion-01,asos,15,ok,2026-05-05 23:39:18,2026-05-05 23:44:19,301,5,46709,84875,13668,145257,0.6766817499999999
asos-tyrion-03,asos,15,skip-rate-limit,,,,,,,,,
asos-tyrion-04,asos,15,skip-rate-limit,,,,,,,,,
asos-sansa-07,asos,15,skip-done,,,,,,,,,
asos-tyrion-01,asos,15,skip-done,,,,,,,,,
asos-tyrion-02,asos,15,ok,2026-05-06 06:55:01,2026-05-06 06:59:07,246,5,57013,69050,11635,137703,0.68232925
asos-tyrion-03,asos,15,ok,2026-05-06 06:59:08,2026-05-06 07:07:50,522,5,60219,87274,24279,171777,1.0275887499999998
asos-tyrion-04,asos,15,ok,2026-05-06 07:07:50,2026-05-06 07:13:29,339,5,47865,84816,14388,147074,0.70188725
