chapter,wave,status,start_time,end_time,duration_s,input_tokens,output_tokens,total_tokens
agot-arya-04,11,ok,2026-04-22 11:34:55,2026-04-22 11:37:07,132,1,202,203
agot-eddard-12,10,ok,2026-04-22 11:34:51,2026-04-22 11:37:17,146,1,263,264
agot-catelyn-08,12,ok,2026-04-22 11:35:03,2026-04-22 11:37:33,150,1,193,194
agot-jon-08,13,ok,2026-04-22 11:35:09,2026-04-22 11:37:39,150,1,297,298
agot-sansa-04,11,ok,2026-04-22 11:37:07,2026-04-22 11:39:07,120,1,255,256
agot-daenerys-05,10,ok,2026-04-22 11:37:17,2026-04-22 11:39:42,145,1,175,176
agot-daenerys-07,13,ok,2026-04-22 11:37:39,2026-04-22 11:39:46,127,1,149,150
agot-tyrion-07,12,ok,2026-04-22 11:37:33,2026-04-22 11:39:55,142,1,226,227
agot-jon-07,11,ok,2026-04-22 11:39:07,2026-04-22 11:41:38,151,1,191,192
agot-tyrion-08,13,ok,2026-04-22 11:39:46,2026-04-22 11:42:08,142,1,166,167
agot-sansa-05,12,ok,2026-04-22 11:39:55,2026-04-22 11:42:20,145,1,198,199
agot-eddard-13,10,ok,2026-04-22 11:39:42,2026-04-22 11:42:38,176,1,196,197
agot-catelyn-10,13,ok,2026-04-22 11:42:08,2026-04-22 11:44:30,142,1,242,243
agot-jon-06,10,ok,2026-04-22 11:42:38,2026-04-22 11:44:41,123,1,189,190
agot-bran-06,11,ok,2026-04-22 11:41:38,2026-04-22 11:44:41,183,1,175,176
agot-eddard-15,12,ok,2026-04-22 11:42:20,2026-04-22 11:44:42,142,1,236,237
agot-eddard-14,10,ok,2026-04-22 11:44:41,2026-04-22 11:46:46,125,1,224,225
agot-daenerys-08,13,ok,2026-04-22 11:44:30,2026-04-22 11:47:04,154,1,249,250
agot-daenerys-06,11,ok,2026-04-22 11:44:41,2026-04-22 11:47:05,144,1,235,236
agot-catelyn-09,12,ok,2026-04-22 11:44:42,2026-04-22 11:47:14,152,1,162,163
agot-arya-05,14,ok,2026-04-22 12:58:30,2026-04-22 13:00:32,122,1,221,222
agot-jon-09,15,ok,2026-04-22 12:58:42,2026-04-22 13:00:49,127,1,187,188
agot-bran-07,14,ok,2026-04-22 13:00:32,2026-04-22 13:02:51,139,1,167,168
agot-catelyn-11,15,ok,2026-04-22 13:00:49,2026-04-22 13:03:17,148,1,185,186
agot-sansa-06,14,ok,2026-04-22 13:02:51,2026-04-22 13:05:00,129,1,224,225
agot-daenerys-10,15,ok,2026-04-22 13:03:17,2026-04-22 13:05:29,132,1,199,200
agot-daenerys-09,14,ok,2026-04-22 13:05:00,2026-04-22 13:07:32,152,1,333,334
agot-tyrion-09,14,ok,2026-04-22 13:07:32,2026-04-22 13:09:57,145,1,259,260
agot-bran-07,agot,3,ok,2026-04-22 22:56:09,2026-04-22 23:04:44,515,1,232,233
agot-catelyn-06,agot,4,ok,2026-04-22 23:01:06,2026-04-22 23:06:07,301,1,252,253
agot-catelyn-01,agot,3,ok,2026-04-22 23:04:44,2026-04-22 23:07:32,168,1,223,224
agot-arya-04,agot,1,ok,2026-04-22 23:04:06,2026-04-22 23:07:43,217,1,245,246
agot-bran-05,agot,2,ok,2026-04-22 23:03:53,2026-04-22 23:07:58,245,1,205,206
agot-daenerys-03,agot,6,ok,2026-04-22 23:07:58,2026-04-22 23:08:07,9,1,84,85
agot-catelyn-07,agot,4,ok,2026-04-22 23:06:07,2026-04-22 23:09:53,226,1,226,227
agot-arya-05,agot,1,ok,2026-04-22 23:07:43,2026-04-22 23:10:11,148,3,216,219
agot-catelyn-09,agot,5,ok,2026-04-22 23:10:11,2026-04-22 23:10:15,4,0,0,0
agot-daenerys-04,agot,6,ok,2026-04-22 23:08:07,2026-04-22 23:10:22,135,3,214,217
agot-daenerys-05,agot,6,ok,2026-04-22 23:10:22,2026-04-22 23:10:24,2,0,0,0
agot-daenerys-06,agot,6,ok,2026-04-22 23:10:24,2026-04-22 23:10:26,2,0,0,0
agot-catelyn-02,agot,3,ok,2026-04-22 23:07:32,2026-04-22 23:10:30,178,3,215,218
agot-catelyn-03,agot,3,fail,2026-04-22 23:10:30,2026-04-22 23:10:31,1,0,0,0
agot-eddard-03,agot,8,ok,2026-04-22 23:59:19,2026-04-23 00:02:01,162,1,230,231
agot-eddard-08,agot,9,ok,2026-04-22 23:59:19,2026-04-23 00:02:22,183,1,249,250
agot-daenerys-08,agot,7,ok,2026-04-22 23:59:19,2026-04-23 00:03:32,253,1,320,321
agot-eddard-09,agot,9,ok,2026-04-23 00:02:22,2026-04-23 00:05:50,208,1,279,280
agot-eddard-10,agot,9,fail,2026-04-23 00:05:50,2026-04-23 00:05:52,2,0,0,0
agot-eddard-11,agot,9,fail,2026-04-23 00:05:52,2026-04-23 00:05:53,1,0,0,0
agot-eddard-04,agot,8,fail,2026-04-23 00:02:01,2026-04-23 00:05:54,233,1,9451,9452
agot-eddard-12,agot,9,fail,2026-04-23 00:05:54,2026-04-23 00:05:55,1,0,0,0
agot-eddard-05,agot,8,fail,2026-04-23 00:05:54,2026-04-23 00:05:56,2,0,0,0
agot-eddard-06,agot,8,fail,2026-04-23 00:05:56,2026-04-23 00:05:57,1,0,0,0
agot-eddard-07,agot,8,fail,2026-04-23 00:05:57,2026-04-23 00:05:59,2,0,0,0
agot-catelyn-04,agot,4,ok,2026-04-23 15:16:28,2026-04-23 15:20:15,227,1,396,397
agot-bran-06,agot,3,ok,2026-04-23 15:16:28,2026-04-23 15:23:04,396,1,103,104
agot-catelyn-04,agot,4,ok,2026-04-23 15:26:58,2026-04-23 15:35:37,519,1,263,264
agot-bran-06,agot,3,ok,2026-04-23 15:26:57,2026-04-23 15:37:16,619,1,251,252
agot-catelyn-05,agot,4,ok,2026-04-23 15:35:37,2026-04-23 15:43:33,476,1,266,267
agot-bran-07,agot,3,ok,2026-04-23 15:37:16,2026-04-23 15:46:11,535,1,303,304
agot-catelyn-01,agot,3,ok,2026-04-23 15:46:11,2026-04-23 15:51:51,340,1,234,235
agot-catelyn-06,agot,4,ok,2026-04-23 15:43:33,2026-04-23 15:52:52,559,1,219,220
agot-catelyn-02,agot,3,ok,2026-04-23 15:51:51,2026-04-23 15:55:06,195,1,196,197
agot-catelyn-03,agot,3,ok,2026-04-23 15:55:06,2026-04-23 15:58:13,187,1,213,214
agot-catelyn-07,agot,4,ok,2026-04-23 15:52:52,2026-04-23 16:01:26,514,1,287,288
agot-catelyn-08,agot,4,ok,2026-04-23 16:01:26,2026-04-23 16:05:04,218,1,206,207
agot-catelyn-09,agot,5,ok,2026-04-23 15:58:13,2026-04-23 16:06:03,470,1,240,241
agot-catelyn-10,agot,5,ok,2026-04-23 16:06:03,2026-04-23 16:09:41,218,1,269,270
agot-daenerys-03,agot,6,ok,2026-04-23 16:05:05,2026-04-23 16:09:47,282,1,303,304
agot-catelyn-11,agot,5,ok,2026-04-23 16:09:41,2026-04-23 16:13:35,234,1,213,214
agot-daenerys-01,agot,5,ok,2026-04-23 16:13:35,2026-04-23 16:17:28,233,1,235,236
agot-daenerys-04,agot,6,ok,2026-04-23 16:09:47,2026-04-23 16:17:45,478,1,333,334
agot-daenerys-02,agot,5,ok,2026-04-23 16:17:28,2026-04-23 16:20:51,203,1,270,271
agot-daenerys-05,agot,6,ok,2026-04-23 16:17:45,2026-04-23 16:21:41,236,1,216,217
agot-daenerys-06,agot,6,ok,2026-04-23 16:21:41,2026-04-23 16:25:47,246,1,246,247
agot-daenerys-07,agot,6,ok,2026-04-23 16:25:47,2026-04-23 16:29:33,226,1,304,305
agot-eddard-03,agot,8,ok,2026-04-23 16:50:40,2026-04-23 16:55:42,302,1,278,279
agot-daenerys-08,agot,7,ok,2026-04-23 16:50:40,2026-04-23 16:59:53,553,1,320,321
agot-daenerys-09,agot,7,ok,2026-04-23 16:59:53,2026-04-23 17:03:44,231,1,333,334
agot-eddard-04,agot,8,ok,2026-04-23 16:55:42,2026-04-23 17:05:13,571,1,350,351
agot-daenerys-10,agot,7,ok,2026-04-23 17:03:45,2026-04-23 17:07:52,247,1,236,237
agot-eddard-05,agot,8,ok,2026-04-23 17:05:13,2026-04-23 17:08:58,225,1,280,281
agot-eddard-01,agot,7,ok,2026-04-23 17:07:52,2026-04-23 17:11:15,203,1,199,200
agot-eddard-06,agot,8,ok,2026-04-23 17:08:58,2026-04-23 17:12:40,222,1,255,256
agot-eddard-02,agot,7,ok,2026-04-23 17:11:15,2026-04-23 17:14:39,204,1,218,219
agot-eddard-08,agot,9,ok,2026-04-23 17:14:39,2026-04-23 17:14:51,12,3,217,220
agot-eddard-09,agot,9,ok,2026-04-23 17:14:51,2026-04-23 17:15:00,9,3,164,167
agot-eddard-10,agot,9,ok,2026-04-23 17:15:00,2026-04-23 17:15:05,5,0,0,0
agot-eddard-11,agot,9,ok,2026-04-23 17:15:05,2026-04-23 17:15:06,1,0,0,0
agot-eddard-12,agot,9,ok,2026-04-23 17:15:06,2026-04-23 17:15:07,0,0,0,0
agot-eddard-07,agot,8,ok,2026-04-23 17:12:40,2026-04-23 17:17:20,280,1,316,317
agot-eddard-13,agot,10,fail,2026-04-23 17:17:20,2026-04-23 17:17:28,8,1,84,85
agot-eddard-14,agot,10,fail,2026-04-23 17:17:28,2026-04-23 17:17:29,1,0,0,0
agot-eddard-15,agot,10,fail,2026-04-23 17:17:29,2026-04-23 17:17:31,2,0,0,0
agot-jon-01,agot,10,fail,2026-04-23 17:17:31,2026-04-23 17:17:32,1,0,0,0
agot-jon-02,agot,10,fail,2026-04-23 17:17:32,2026-04-23 17:17:33,1,0,0,0
