chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
acok-catelyn-02,acok,4,ok,2026-04-23 22:27:20,2026-04-23 22:32:34,314,6,39118,100107,12727,151958,0.613324
acok-arya-05,acok,1,ok,2026-04-23 22:29:11,2026-04-23 22:33:03,232,6,33814,98692,8777,141289,0.48073649999999996
acok-arya-06,acok,2,ok,2026-04-23 22:33:03,2026-04-23 22:36:43,220,7,28838,126467,8971,164283,0.468379
acok-catelyn-03,acok,4,ok,2026-04-23 22:32:34,2026-04-23 22:36:45,251,6,34203,97450,10429,142088,0.52384675
acok-catelyn-04,acok,5,ok,2026-04-23 22:36:46,2026-04-23 22:40:05,199,6,29569,95298,7950,132823,0.43183325
acok-arya-07,acok,2,ok,2026-04-23 22:36:43,2026-04-23 22:41:13,270,6,34254,96972,10947,142179,0.5368815
acok-arya-08,acok,2,ok,2026-04-23 22:41:13,2026-04-23 22:44:33,200,6,29277,94461,8486,132230,0.44298975
acok-catelyn-05,acok,5,ok,2026-04-23 22:40:05,2026-04-23 22:45:07,302,6,37437,98576,12543,148562,0.59745225
acok-arya-09,acok,2,ok,2026-04-23 22:44:33,2026-04-23 22:49:12,279,6,38038,100730,10949,149723,0.5624454999999999
acok-catelyn-06,acok,5,ok,2026-04-23 22:45:07,2026-04-23 22:49:37,270,3666,38425,87879,11062,141032,0.57955375
acok-catelyn-07,acok,5,ok,2026-04-23 22:49:37,2026-04-23 22:53:59,262,6,35486,98427,10746,144665,0.5402790000000001
acok-arya-10,acok,2,ok,2026-04-23 22:49:12,2026-04-23 22:54:44,332,5,39407,71354,13327,124093,0.61574875
acok-bran-01,acok,3,ok,2026-04-23 22:54:45,2026-04-23 22:58:23,218,7,30981,129726,9425,170139,0.49475225
acok-daenerys-01,acok,5,ok,2026-04-23 22:53:59,2026-04-23 22:59:00,301,6,36679,97874,12438,146997,0.58976575
acok-daenerys-02,acok,6,ok,2026-04-23 22:59:00,2026-04-23 23:02:40,220,6,30411,94958,9105,134480,0.4658077500000001
acok-bran-02,acok,3,ok,2026-04-23 22:58:23,2026-04-23 23:03:34,311,6,38046,99237,12494,149783,0.6003539999999999
acok-daenerys-03,acok,6,ok,2026-04-23 23:02:40,2026-04-23 23:06:56,256,6,32060,96230,9557,137853,0.48802999999999996
acok-bran-03,acok,3,ok,2026-04-23 23:03:34,2026-04-23 23:07:50,256,6,31348,94914,10114,136382,0.496865
acok-bran-04,acok,3,ok,2026-04-23 23:07:50,2026-04-23 23:11:09,199,6,29660,94889,8376,132931,0.44284749999999995
acok-daenerys-04,acok,6,ok,2026-04-23 23:06:56,2026-04-23 23:11:12,256,3666,32162,92301,9852,137981,0.512383
acok-bran-05,acok,3,ok,2026-04-23 23:11:09,2026-04-23 23:14:41,212,6,29340,93658,9372,132376,0.46511199999999997
acok-daenerys-05,acok,6,ok,2026-04-23 23:11:12,2026-04-23 23:15:41,269,6,34470,97452,10656,142584,0.5312034999999999
acok-davos-01,acok,6,ok,2026-04-23 23:15:41,2026-04-23 23:20:19,278,6,37178,99407,11459,148050,0.569144
