[L750] | open | food | asos | asos-jon-06.md:19 | Mole's Town stable boys give the feverish Jon a skin of wine and half a loaf of brown bread — last food before he reaches Castle Black to warn them. | S153 castle-black |
[L770] | open | food | agot | agot-arya-05.md:41 | Flea Bottom poverty: 'bowl o' brown' pot-shops (barley, carrot, onion, turnip, sometimes apple, 'a film of grease swimming on top'); Arya trades half a pigeon for bread+bowl, ate raw pigeon, often went to bed hungry. Richest food-poverty sequence in the arc. | S154 d5-arya-harrenhal |
[L771] | open | food | agot | agot-arya-05.md:19 | The tart pushcart (blueberry/lemon/apricot 'still warm'); Arya longs for a lemon cake, refused at 3 coppers. | S154 d5-arya-harrenhal |
[L772] | open | food | acok | acok-arya-01.md:91 | Yoren gives Arya sourleaf for the sting of a beating — 'foul,' makes her spit look like blood. | S154 d5-arya-harrenhal |
[L773] | open | hospitality | acok | acok-arya-02.md:33 | Inn at the crossroads: hot pork pies + baked apples; innkeeper gives the Watch column a round of beer 'on the house' for a brother who took the black (loved pepper). The arc's explicit guest-right beat. | S154 d5-arya-harrenhal |
[L774] | open | food | acok | acok-arya-03.md:31 | Rabbit stew with mushrooms + wild onions; Arya gets a whole leg for catching the rabbit, shares with Gendry; the three in manacles each get a spoonful. | S154 d5-arya-harrenhal |
[L775] | open | food | acok | acok-arya-03.md:33 | The erosion of guest-custom under war: field hands demand coin for sweetcorn; Yoren — 'Time was, a man in black was feasted from Dorne to Winterfell.' | S154 d5-arya-harrenhal |
[L776] | open | food | acok | acok-arya-03.md:77 | Grim register: supper of wild radishes, dry beans, brook water — 'the taste of bodies, rotting someplace upstream' (Lommy); Arya drinks too much just to fill her belly. | S154 d5-arya-harrenhal |
[L777] | open | food | acok | acok-arya-05.md:37 | Post-holdfast starvation: acorn paste (ground with rocks, 'tasted awful'), bugs, worms, a frog, blackberries; Hot Pie retches a beetle; 'mostly they had been living on water and acorns.' | S154 d5-arya-harrenhal |
[L778] | open | food | acok | acok-arya-05.md:245 | Lannister soldiers roast a deer by the gibbet — 'smell of cooking meat mingled queerly with the stench of corruption'; Arya's empty belly roils. | S154 d5-arya-harrenhal |
[L779] | open | food | acok | acok-arya-06.md:37 | Gregor's column brings prisoners to Harrenhal with 'a dozen pigs, a cage of chickens, a scrawny milk cow, and nine wagons of salt fish.' | S154 d5-arya-harrenhal |
[L780] | open | food | acok | acok-arya-07.md:11 | Harrenhal servant rations: bread daily, barley stews with carrot/turnip, 'once a fortnight even a bite of meat.' | S154 d5-arya-harrenhal |
[L781] | open | food | acok | acok-arya-08.md:91 | Weese's capon cruelty: promises Arya a 'plump crisp capon,' gives the wing to his bed-woman, eats almost all of it himself, 'the grease running down in a shiny line through the boils.' | S154 d5-arya-harrenhal |
[L782] | open | food | acok | acok-arya-09.md:13 | Hot Pie's midnight tarts 'stuffed with chopped nuts and fruit and cheese, the crust flaky and still warm'; Arya filches Ser Amory's tart ('made Arya feel daring'). | S154 d5-arya-harrenhal |
[L783] | open | food | acok | acok-arya-09.md:283 | Grim register: Biter on a dead guard 'holding a limp hand as he gnawed at the fingers. Bones cracked between his teeth' — cannibalism; earlier (:239) tears charred rabbit off the spit, 'honey dripped between his fingers.' | S154 d5-arya-harrenhal |
[L784] | open | food | acok | acok-arya-09.md:351 | Shagwell's gallows joke: '"What did you die of?" ... "Hot weasel soup."' — the eponymous massacre as food-punchline. | S154 d5-arya-harrenhal |
[L785] | open | food | acok | acok-arya-10.md:161 | Roose Bolton's supper: 'barley bread, butter, and boar' + hot spice wine (heavy sweet red, Hot Pie crumbles the spices, served towel-wrapped); Bolton eats alone and burns a book. | S154 d5-arya-harrenhal |
[L786] | open | food | acok | acok-arya-09.md:149 | Ser Aenys Frey's war-council on famine: 'The country is ash...we will be down to rats and shoe leather in a moon's turn.' Strategic-famine register. | S154 d5-arya-harrenhal |
[L787] | open | description | acok | acok-arya-06.md:65 | Harrenhal's five melted towers: 'like some old man's gnarled, knuckly fingers groping after a passing cloud...lumpy and runneled and cracked'; the stone 'melted and flowed like candlewax.' For the harrenhal node ## Quotes. | S154 d5-arya-harrenhal |
[L788] | open | description | acok | acok-arya-07.md:31 | Harrenhal's inhuman scale: stables for a thousand horses, 20-acre godswood, Hall of a Hundred Hearths (only ~33). Tower names (:11): Tower of Dread, Widow's Tower, Wailing Tower, Tower of Ghosts, Kingspyre. For harrenhal. | S154 d5-arya-harrenhal |
[L789] | open | description | acok | acok-arya-10.md:53 | The iron coin: 'a piece of iron no larger than a penny and rusted along the rim. One side had writing on it...The other showed a man's head, but so worn that all his features had rubbed off.' For the iron-coin node ## Quotes. | S154 d5-arya-harrenhal |
[L790] | open | appearance | acok | acok-arya-07.md:37 | Vargo Hoat: stick-thin, ropy black beard, a black-steel goat's-head helm, a chain of 'linked coins of many different sizes, shapes, and metals.' For vargo-hoat. | S154 d5-arya-harrenhal |
[L791] | open | appearance | acok | acok-arya-06.md:23 | The Tickler: 'His face was so ordinary and his garb so plain that Arya might have thought him one of the villagers'; the fixed interrogation questions. For tickler. | S154 d5-arya-harrenhal |
[L792] | open | appearance | acok | acok-arya-06.md:93 | Weese: 'a squat man with a fleshy carbuncle of a nose and a nest of angry red boils'; 'My nose never lies...all I want to smell is fear.' For weese. | S154 d5-arya-harrenhal |
[L793] | open | appearance | acok | acok-arya-09.md:355 | Roose Bolton's first appearance: 'plain face...notable only for his queer pale eyes...black ringmail and a spotted pink cloak. The sigil...looked like a man dipped in blood.' Leeching (acok-arya-10:69): 'long translucent things that turned a glistening pink as they fed.' For roose-bolton. | S154 d5-arya-harrenhal |
[L794] | open | appearance | acok | acok-arya-01.md:21 | Rorge (noseless, 'the hole in his face') and Biter ('fat bald one with the pointed teeth and weeping sores...eyes like nothing human') first introduced. For rorge/biter. | S154 d5-arya-harrenhal |
[L795] | open | object | acok | acok-arya-03.md:21 | Gendry's bull's-head helm: 'rounded and curved, with a slit visor and two great metal bull's horns...shining it so bright you could see the flames of the cookfire' — he polishes but never wears it; later Dunsen wears it. For gendry / candidate object node. | S154 d5-arya-harrenhal |
[L796] | open | description | agot | agot-arya-04.md:201 | Dragon skulls in the Red Keep cellars: '"dragons," she whispered'; Needle 'seemed very small and the dragons very big.' For a red-keep / dragon-skulls node. | S154 d5-arya-harrenhal |
[L797] | open | quote | acok | acok-arya-06.md:59 | Arya's kill-list prayer in full: 'Ser Gregor. Dunsen, Polliver, Chiswyck, Raff the Sweetling. The Tickler and the Hound. Ser Amory, Ser Ilyn, Ser Meryn, King Joffrey, Queen Cersei.' For arya-stark ## Quotes (the ritual origin). | S154 d5-arya-harrenhal |
[L798] | open | quote | acok | acok-arya-09.md:117 | 'Jaqen made me brave again. He made me a ghost instead of a mouse.' For arya-stark. | S154 d5-arya-harrenhal |
[L799] | open | quote | acok | acok-arya-09.md:345 | Jaqen's farewell: 'Jaqen is as dead as Arry...Valar morghulis, Arya Stark.' For jaqen-hghar ## Quotes. | S154 d5-arya-harrenhal |
[L800] | open | quote | acok | acok-arya-10.md:213 | Wolf-blood (Ned's voice in the godswood): 'You have the wolf blood in you...I'll be as strong as Robb.' For arya-stark. | S154 d5-arya-harrenhal |
[L801] | open | quote | acok | acok-arya-10.md:293 | The ghost-companions: 'it felt as though Syrio Forel walked beside her, and Yoren, and Jaqen H'ghar, and Jon Snow.' For arya-stark (her internal 'pack'). | S154 d5-arya-harrenhal |
[L802] | open | quote | agot | agot-arya-04.md:53 | Syrio's 'true seeing' speech: 'The heart lies and the head plays tricks...but the eyes see true.' For syrio-forel ## Quotes. | S154 d5-arya-harrenhal |
[L804] | open | foreshadowing | acok | acok-arya-10.md:151 | Arya steals Bolton's map ('THE LANDS OF THE TRIDENT...where's Riverrun?...It's not so far') — foreshadows the ASOS flight toward Riverrun. | S154 d5-arya-harrenhal |
[L805] | open | nymeria | acok | acok-arya-03.md:97 | Arya meets Nymeria's pack in the dark (a wolf bares teeth, then turns back); inn gossip (acok-arya-02:59) of a she-wolf leading a great pack near the Gods Eye. Nymeria/warging thread for arya-stark/nymeria. | S154 d5-arya-harrenhal |
[L806] | open | food | acok | acok-prologue.md:287 | Dragonstone feast: knights/sellswords 'tearing apart loaves of black bread to soak in their fish stew.' For object.food (black bread, fish stew). | S155 stannis |
[L807] | open | food | acok | acok-prologue.md:155 | Onion-Knight origin: Davos's black-sailed ship 'crammed with onions and salt fish' runs the Redwyne blockade into starving Storm's End ('down to roots and rats'). For davos-seaworth backstory / onions. | S155 stannis |
[L808] | open | food | acok | acok-davos-01.md:147 | Salladhor's dinner aboard Valyrian: 'Minced lamb with pepper and roasted gull stuffed with mushrooms and fennel and onion.' Lyseni feast. | S155 stannis |
[L809] | open | food | acok | acok-davos-01.md:91 | Salladhor eating grapes from a wooden bowl, 'marvelously sweet'; 'Eat a grape. Eat two.' Davos orders ale. Pirate hospitality. | S155 stannis |
[L810] | open | food | acok | acok-catelyn-02.md:205 | Renly's extravagant Bitterbridge feast (the last before his death): pears poached in wine, capons stuffed with onions/mushrooms, hams, roast geese, venison-and-barley, cream swans, spun-sugar unicorns, rose lemon cakes, blackberry tarts, buttery cheese. Marquee feast. | S155 stannis |
[L811] | open | food | acok | acok-catelyn-03.md:155 | THE PEACH at the Stannis-Renly parley: Renly produces & eats a peach to mock Stannis; Stannis later 'will go to my grave thinking of my brother's peach.' Load-bearing food-as-omen. For renly-baratheon / stannis-baratheon. | S155 stannis |
[L812] | open | food | acok | acok-catelyn-04.md:61 | Storm's End RR starvation (rat-eating backstory): 'Stannis ate rats rather than open his gates'; Cressen warned 'we might be forced to eat our dead.' Grim register. | S155 stannis |
[L813] | open | food | acok | acok-davos-02.md:209 | Stannis's sparse table: 'The king sprinkled a pinch of salt in his cup before he drank; Davos took his water straight.' Stannis salts his water — characteristic austerity. | S155 stannis |
[L814] | open | food | asos | asos-davos-01.md:19 | Shipwrecked Davos survives on tiny crabs 'smashed apart on the rocks to suck the meat from their claws.' Grim survival eating. | S155 stannis |
[L815] | open | food | asos | asos-davos-02.md:49 | Salladhor: 'white cheese and a bowl of those cracked green olives' + hot red wine with cloves & lime. Pirate hospitality (kisses Davos thrice). | S155 stannis |
[L816] | open | food | asos | asos-davos-03.md:21 | Prison food: gaoler 'Lamprey' brings half a lamprey pie ('a rare treat for a prisoner'); gaoler 'Porridge' brings porridge sometimes sweetened with honey. Dragonstone dungeon rations. | S155 stannis |
[L817] | open | food | adwd | adwd-the-kings-prize-01.md:157 | The Winterfell-march rations (day 3): 'each man got a heel of bread and a chunk of black sausage no longer than a finger, washed down with the last of Galbart Glover's ale' — while the king's tent supped on venison stew. King's-table-vs-rationed-men contrast. | S155 stannis |
[L818] | open | food | adwd | adwd-the-kings-prize-01.md:221 | March starvation: 'On the twenty-sixth day of the fifteen-day march, the last of the vegetables was consumed. On the thirty-second day, the last of the grain and fodder.' Horses butchered for meat; 'how long a man could live on raw, half-frozen horse meat.' | S155 stannis |
[L819] | open | food | adwd | adwd-the-kings-prize-01.md:179 | Stannis not eating during the march: 'a dish of onion soup cooled before him, hardly tasted, staring at the flame of the nearest candle' while the queen's men urge sacrifice. | S155 stannis |
[L820] | open | food | adwd | adwd-jon-04.md:23 | Castle Black food census before Stannis's winter march: granaries, root cellars (onions/garlic/carrots/parsnips/turnips), salt beef/pork/cod, hams, sausages, dried peas/figs/olives, pickled cabbage/beets/herring, potted hare, honeyed deer-haunch. Exhaustive stores inventory. | S155 stannis |
[L821] | open | food | adwd | adwd-jon-04.md:313 | Stannis on feasting the mountain clans (hospitality-as-politics): 'For three thousand men, I suppose I can endure some pipes and porridge,' the king said, 'though his tone begrudged even that.' | S155 stannis |
[L822] | open | food | adwd | adwd-melisandre-01.md:63 | Grim hospitality irony: Devan brings Mel 'nettle tea, a boiled egg, and bread with butter. Fresh bread, if you please, not fried.' Mel forgets to eat; the wildling (Mance) eats it, buttering 'warm brown bread with his dagger' while Jon refuses to break bread with him. | S155 stannis |
[L823] | open | quote | acok | acok-prologue.md:169 | Stannis's fullest physical description: 'Hard was the word men used'; thin black hair, blue-black beard 'across his square jaw and the bony hollows of his cheeks,' eyes 'open wounds beneath his heavy brows,' a mouth 'that had forgotten how to smile.' For stannis-baratheon ## Quotes. | S155 stannis |
[L824] | open | quote | acok | acok-davos-01.md:253 | Stannis's atheism backstory: 'I stopped believing in gods the day I saw the Windproud break up across the bay. Any gods so monstrous as to drown my mother and father would never have my worship, I vowed.' For stannis-baratheon (grounds the WORSHIPS-rhllor Tier-2 / pragmatic-conversion nuance). | S155 stannis |
[L825] | open | quote | acok | acok-davos-01.md:263 | Stannis's conversion-as-pragmatism: 'The Seven have never brought me so much as a sparrow. It is time I tried another hawk, Davos. A red hawk.' For stannis-baratheon / rhllor. | S155 stannis |
[L826] | open | quote | acok | acok-davos-02.md:165 | Stannis's justice creed: 'A good act does not wash out the bad, nor a bad act the good. Each should have its own reward. You were a hero and a smuggler.' For stannis-baratheon ## Quotes (defining character line). | S155 stannis |
[L827] | open | quote | asos | asos-davos-05.md:147 | Stannis dismisses Lightbringer himself: 'It glimmers prettily, I'll grant you, but on the Blackwater this magic sword served me no better than any common steel.' For lightbringer / stannis-baratheon (the false-Lightbringer reading). | S155 stannis |
[L828] | open | quote | acok | acok-davos-01.md:125 | Salladhor's verdict on the red sword: 'That sword was not Lightbringer, my friend.' For lightbringer ## Quotes (the false-Lightbringer). | S155 stannis |
[L829] | open | quote | acok | acok-prologue.md:295 | Melisandre's fullest description: red silk gown, red-gold choker with a single great ruby, copper hair, red eyes, cream skin — 'She was not beautiful. She was red, and terrible, and red.' For melisandre ## Quotes. | S155 stannis |
[L830] | open | quote | acok | acok-prologue.md:265 | Melisandre's title-stack: 'sorceress, shadowbinder, and priestess to R'hllor, the Lord of Light, the Heart of Fire, the God of Flame and Shadow.' For melisandre (the shadowbinder identity — magic-discipline node-prose, theory boundary). | S155 stannis |
[L831] | open | quote | acok | acok-davos-02.md:279 | Davos on the shadow-birth night: 'The last time it was life I brought to Storm's End, shaped to look like onions. This time it is death, in the shape of Melisandre of Asshai.' For davos-seaworth ## Quotes (marquee). | S155 stannis |
[L832] | open | quote | asos | asos-davos-06.md:195 | Stannis on duty & sacrifice: 'If I must sacrifice one child to the flames to save a million from the dark... Sacrifice... is never easy, Davos. Or it is no true sacrifice.' For stannis-baratheon (king's-blood ambivalence — theory boundary; already in leeching node). | S155 stannis |
[L833] | open | quote | asos | asos-davos-05.md:162 | Dragonstone's carved-dragon architecture: kitchens 'a dragon curled up in a ball' venting through its nostrils; towers as dragons; claws/wings/tails forming arches and stairs; the Great Hall dragon entered 'through open mouth.' For dragonstone ## Quotes. | S155 stannis |
[L834] | open | quote | acok | acok-prologue.md:37 | Dragonstone atmosphere: 'a lonely citadel in the wet waste surrounded by storm and salt, with the smoking shadow of the mountain at its back.' For dragonstone ## Quotes. | S155 stannis |
[L835] | open | quote | acok | acok-prologue.md:79 | Patchface's prophetic refrain (sung before the shadow-births): 'The shadows come to dance, my lord... The shadows come to stay, my lord.' For patchface ## Quotes. | S155 stannis |
[L836] | open | quote | asos | asos-davos-02.md:199 | Patchface: 'Fool's blood, king's blood, blood on the maiden's thigh, but chains for the guests and chains for the bridegroom, aye aye aye.' For patchface (Red-Wedding-resonant; foreshadowing pointer). | S155 stannis |
[L837] | open | quote | adwd | adwd-melisandre-01.md:269 | Melisandre's-ruby cost: 'the ruby at her throat had grown so hot that she had feared her own flesh might start to smoke and blacken.' For melisandres-ruby ## Quotes (the glamour toll). | S155 stannis |
[L838] | open | magic | acok | acok-davos-02.md:332 | Storm's-End spell-wards (why Mel must enter physically): 'There are spells woven into the stones. Dark walls that no shadow can pass.' For storms-end / shadow-killing-of-cortnay-penrose node-prose. | S155 stannis |
[L839] | open | magic | acok | acok-davos-02.md:334 | Shadow doctrine: 'Shadows are the servants of light, the children of fire. The brightest flame casts the darkest shadows.' Mel's shadowbinding (node-prose; theory boundary). | S155 stannis |
[L840] | open | magic | asos | asos-davos-03.md:53 | Shadow-birth depletes Stannis's life-fire: 'the king's fires burn so low I dare not draw off any more to make another son. It might well kill him.' Mechanics for the shadow-assassination node-prose (NOT a graph edge — gated). | S155 stannis |
[L841] | open | description | adwd | adwd-melisandre-01.md:77 | Mel's powder chest: 'powders to turn fire green or blue or silver... a smoke for truth, a smoke for lust, a smoke for fear, and the thick black smoke that could kill a man outright.' For melisandre node-prose. | S155 stannis |
[L842] | open | description | adwd | adwd-melisandre-01.md:11 | Mel's nightfire protocol: candles always burning, 'a fire was kept burning day and night'; 'It was never truly dark in Melisandre's chambers.' For melisandre node-prose. | S155 stannis |
[L843] | open | description | asos | asos-davos-04.md:75 | Stannis post-Blackwater, ten years older: close-cropped beard 'spiderwebbed with grey,' 'dropped two stone,' 'the bones moved beneath his skin like spears... the shape of a skull could be seen beneath his face.' For stannis-baratheon node-prose. | S155 stannis |
[L846] | open | quote | affc | affc-the-queenmaker-01.md:299 | THE marquee whodunit line: 'Someone told.' Hotah shrugged. 'Someone always tells.' For the-queenmaker-plot / areo-hotah ## Quotes (the informer mystery; deliberately unresolved). | S156 dorne |
[L847] | open | quote | adwd | adwd-the-watcher-01.md:187 | Doran's 'grass and viper' speech: 'Oberyn was ever the viper... I was the grass... it is the grass that hides the viper from his enemies and shelters him until he strikes.' For doran-martell ## Quotes (his long-game persona). | S156 dorne |
[L848] | open | quote | affc | affc-the-princess-in-the-tower-01.md:243 | Doran's vengeance root: 'I have worked at the downfall of Tywin Lannister since the day they told me of Elia and her children.' For doran-martell ## Quotes (the E22 murder-of-elia MOTIVATES doran secondary cite). | S156 dorne |
[L849] | open | quote | affc | affc-the-soiled-knight-01.md:42 | Doran warns Arys of the conspirators around him: 'Every night I hear them whispering and sharpening their knives.' For arys-oakheart / doran-martell ## Quotes. | S156 dorne |
[L850] | open | description | affc | affc-the-queenmaker-01.md:31 | Darkstar physical: aquiline nose, hair 'like a silver glacier, divided by a streak of midnight black', eyes 'purple. Dark purple. Dark and angry'; 'Men call me Darkstar, and I am of the night.' For gerold-dayne ## Quotes. | S156 dorne |
[L851] | open | description | affc | affc-the-princess-in-the-tower-01.md:165 | Doran on Darkstar: 'Darkstar is the most dangerous man in Dorne.' For gerold-dayne ## Quotes. | S156 dorne |
[L852] | open | description | affc | affc-the-captain-of-guards-01.md:59 | Doran's gout: 'his left knee was an apple, his right a melon, and his toes had turned to dark red grapes, so ripe it seemed as though a touch would burst them.' For doran-martell ## Quotes. | S156 dorne |
[L853] | open | description | affc | affc-the-princess-in-the-tower-01.md:169 | Myrcella's maiming aftermath: 'the slash opened her cheek down to the bone and sliced off her right ear... no poultice nor potion will ever restore her face.' For myrcella-baratheon ## Quotes. | S156 dorne |
[L854] | open | description | affc | affc-the-captain-of-guards-01.md:217 | Sunspear's three towers: the slender Spear Tower (gilded-steel spear), the Tower of the Sun (gold/leaded-glass dome), the Sandship ('monstrous dromond... turned to stone'). For old-palace / spear-tower ## Quotes. | S156 dorne |
[L855] | open | description | adwd | adwd-the-watcher-01.md:93 | Water Gardens origin: built for the Targaryen bride Daenerys (sister to Daeron the Good) whose marriage made Dorne part of the realm; she filled the gardens with laughing children incl. smallfolk's — a tradition that endures. For water-gardens ## Quotes. | S156 dorne |
[L856] | open | description | affc | affc-the-captain-of-guards-01.md:11 | Water Gardens opening image: blood oranges 'well past ripe', fallen to burst on the pale pink marble, sharp sweet smell. For water-gardens ## Quotes. | S156 dorne |
[L857] | open | description | affc | affc-the-princess-in-the-tower-01.md:29 | Ghaston Grey: 'a crumbling old castle perched on a rock in the Sea of Dorne, a drear and dreadful prison where the vilest of criminals were sent to rot and die.' For ghaston-grey ## Quotes. | S156 dorne |
[L858] | open | description | adwd | adwd-the-watcher-01.md:191 | The Sand Snakes at the feast: Obara in breeches cinched with copper suns; Nymeria in yellow silk 'so sheer the candles shone right through it'; Tyene 'so modest and so innocent' in cream and green. For obara/nymeria/tyene-sand node-prose. | S156 dorne |
[L859] | open | description | affc | affc-the-captain-of-guards-01.md:155 | Hotah's axe-care + Norvoshi brand: 'Keep your longaxe sharp, the bearded priests had told him'; chest-brand 'the hair had never grown back over the axe.' For areo-hotah / hotahs-longaxe node-prose. | S156 dorne |
[L860] | open | foreshadowing | affc | affc-the-captain-of-guards-01.md:135 | Chekhov's gun (fulfilled affc-the-queenmaker-01:289): Hotah senses 'one day... the two of them would fight; on that day Oakheart would die, with the captain's longaxe crashing through his skull.' For areo-hotah / arys-oakheart. | S156 dorne |
[L861] | open | food | affc | affc-the-captain-of-guards-01.md:153 | Doran's Water Gardens supper: 'a bowl of purple olives, with flatbread, cheese, and chickpea paste' + 'the sweet, heavy strongwine that he loved.' | S156 dorne |
[L862] | open | food | affc | affc-the-captain-of-guards-01.md:165 | Doran's breakfast: 'a blood orange and a plate of gull's eggs diced with bits of ham and fiery peppers.' | S156 dorne |
[L863] | open | food | adwd | adwd-the-watcher-01.md:51 | THE 7-course Balon Swann feast: egg-and-lemon soup, long green peppers stuffed with cheese/onions, lamprey pies, honey-glazed capons, Greenblood whiskerfish, savory snake stew (7 snakes + dragon peppers + blood oranges + a dash of venom), sherbet, spun-sugar skulls with custard + plum + cherry. The full Dornish register. | S156 dorne |
[L864] | open | food | adwd | adwd-the-watcher-01.md:43 | Dornish strongwine 'dark as blood and sweet as vengeance'; Doran drinks his own 'well laced with poppy juice' for the gout-pain. | S156 dorne |
[L865] | open | food | adwd | adwd-the-watcher-01.md:55 | Westerosi-outsider reaction: Ser Balon Swann tries one spoonful of the snake stew and 'even that made his brow break out in sweat'; shuns the lamprey pie. | S156 dorne |
[L866] | open | food | affc | affc-the-soiled-knight-01.md:21 | Shadow-city street food: snake grilled over a brazier; 'the best snake sauce had a drop of venom in it, along with mustard seeds and dragon peppers'; Myrcella took to Dornish food. | S156 dorne |
[L867] | open | food | affc | affc-the-princess-in-the-tower-01.md:47 | Arianne's prison meal: 'kid roasted with lemon and honey... grape leaves stuffed with a mélange of raisins, onions, mushrooms, and fiery dragon peppers'; later 'figs or olives or peppers stuffed with cheese' (line 59). | S156 dorne |
[L868] | open | food | affc | affc-the-queenmaker-01.md:239 | Riding rest on the sands: dates, cheese, olives, lemonsweet (line 155); Myrcella splits an orange with Spotted Sylva while Garin spits olive stones at Drey. | S156 dorne |
[L869] | open | food | affc | affc-the-queenmaker-01.md:37 | Shandystone fire: the conspirators pass a skin of summerwine, 'all but Darkstar, who preferred to drink unsweetened lemonwater.' | S156 dorne |
[L870] | open | food | affc | affc-the-captain-of-guards-01.md:157 | Hotah's Norvoshi food memory: wintercake 'rich with ginger and pine nuts and bits of cherry, with nahsa to wash it down, fermented goat's milk served in an iron cup and laced with honey.' | S156 dorne |
[L871] | open | venom | affc | affc-the-queenmaker-01.md:17 | Oberyn at Shandystone once 'caught some vipers and showed Tyene the safest way to milk them for their venom' — the Dornish-poison register; links Oberyn → Tyene's poison craft. | S156 dorne |
